Purpose,Channel,Dimmer,Address,Position,Unit#,Instrument Type,Load,Accessory,Color,Gobo,Circuit Name,Circuit#,Focus Status,Lightwright ID,Universe,DMX#
BACK - AMBER,23,209,,#3 ELECTRIC,7,Source4 PAR WFL,750,,L021,,,,Not,824C17:1EBC:3:3B:Vecto,,
BACK - BLUE,3,215,,#3 ELECTRIC,8,Source4 PAR WFL,750,,R2006,,,,Not,7CB6C2:1EEA:3:3B:Vecto,,
BACK - RED,43,210,,#3 ELECTRIC,9,Source4 PAR WFL,750,,LHT026,,,,Not,42B7F2:1EA5:3:3B:Vecto,,
BACK - LAV,63,216,,#3 ELECTRIC,10,Source4 PAR WFL,750,,R58,,,,Not,166369:1ED3:3:3B:Vecto,,
WORKS,911,522,,#3 ELECTRIC,11,Q-Lite,500,,N/C,,,,Not,5DBB47:1D91:3:3A:Vecto,,
BACK - AMBER,22,222,,#3 ELECTRIC,12,Source4 PAR WFL,750,,L021,,,,Not,1F01AF:1E1B:3:3A:Vecto,,
BACK - BLUE,2,221,,#3 ELECTRIC,13,Source4 PAR WFL,750,,R2006,,,,Not,6BC046:1DED:3:3A:Vecto,,
BACK - RED,42,220,,#3 ELECTRIC,14,Source4 PAR WFL,750,,LHT026,,,,Not,45A825:1E32:3:3B:Vecto,,
BACK - LAV,62,219,,#3 ELECTRIC,15,Source4 PAR WFL,750,,R58,,,,Not,96E8E5:1E04:3:3A:Vecto,,
MOV - VL2500,523,,3/465,#3 ELECTRIC,16,VL2500 Spot,700,,,,,,Not,3F1A94:5AA:3:36:Vecto,3,465
BACK - AMBER,21,218,,#3 ELECTRIC,17,Source4 PAR WFL,750,,L021,,,,Not,6A2877:1E77:3:3B:Vecto,,
BACK - BLUE,1,217,,#3 ELECTRIC,18,Source4 PAR WFL,750,,R2006,,,,Not,878345:1E49:3:3B:Vecto,,
BACK - RED,41,204,,#3 ELECTRIC,19,Source4 PAR WFL,750,,LHT026,,,,Not,FC440:1E8E:3:3B:Vecto,,
BACK - LAV,61,203,,#3 ELECTRIC,20,Source4 PAR WFL,750,,R58,,,,Not,966FC8:1E60:3:3B:Vecto,,
WORKS,911,522,,#3 ELECTRIC,21,Q-Lite,500,,N/C,,,,Not,729FD5:1D7A:3:3A:Vecto,,
PIPE END TEMP,295,187,,#2 ELECTRIC,1,Source4-36°,575,,L202,G370,,,Not,6617F5:28CE:4:2:Vecto,,
PIPE END BLUE,285,188,,#2 ELECTRIC,2,Source4-36°,575,,R3220+R119,,,,Not,CD912:28B7:4:2:Vecto,,
PIPE END TEMP,295,189,,#2 ELECTRIC,3,Source4-26°,575,,L202,G370,,,Not,520979:28A0:4:2:Vecto,,
PIPE END BLUE,285,190,,#2 ELECTRIC,4,Source4-26°,575,,R3220+R119,,,,Not,484503:2889:4:2:Vecto,,
TEMP BACKS,85,191,,#2 ELECTRIC,5,Source4-26°,575,,N/C,G579-A,,,Not,79F7E6:2493:4:1:Vecto,,
MOV - VL2500,522,,3/465,#2 ELECTRIC,6,VL2500 Spot,700,,,,,,Not,3E5E45:47F:3:36:Vecto,3,465
TEMP BACKS,84,182,,#2 ELECTRIC,7,Source4-26°,575,,N/C,G579-A,,,Not,1947AE:24AA:4:1:Vecto,,
MOV - VL3500,513,,,#2 ELECTRIC,8,VL3000 Spot,1200,,,,,,Not,6EDC66:565:3:36:Vecto,,
MOV - iCUE (MIRROR),502,1410,,#2 ELECTRIC,9,I-Cue Intelligent Mirror,,,,,,,Not,73B28C:2465:4:0:Vecto,,
MOV - iCUE (IRIS),502,1414,,#2 ELECTRIC,9.2,DMX Iris for S4,120,,,,,,Not,116AEA:2420:4:0:Vecto,,
MOV - iCUE (LAMP),502,184,,#2 ELECTRIC,10,Source4-19°,750,,R132,,,,Not,1495D7:1CF0:3:3A:Vecto,,
MOV - VL3500,512,,,#2 ELECTRIC,10,VL3000 Spot,1200,,,,,,Not,51F89B:537:3:36:Vecto,,
MOV - iCUE (IRIS),501,1419,,#2 ELECTRIC,10.2,DMX Iris for S4,120,,,,,,Not,40EDFF:2437:4:0:Vecto,,
MOV - iCUE (LAMP),501,185,,#2 ELECTRIC,11,Source4-19°,750,,R132,,,,Not,23FB60:1D07:3:3A:Vecto,,
MOV - iCUE (MIRROR),501,1415,,#2 ELECTRIC,12,I-Cue Intelligent Mirror,,,,,,,Not,730041:244E:4:0:Vecto,,
MOV - VL3500,511,,,#2 ELECTRIC,12,VL3000 Spot,1200,,,,,,Not,8C7EB4:54E:3:36:Vecto,,
TEMP BACKS,82,186,,#2 ELECTRIC,13,Source4-26°,575,,N/C,G579-A,,,Not,46CEED:24C1:4:1:Vecto,,
MOV - VL2500,521,,3/465,#2 ELECTRIC,14,VL2500 Spot,700,,,,,,Not,3C9175:496:3:36:Vecto,3,465
TEMP BACKS,81,194,,#2 ELECTRIC,15,Source4-26°,575,,N/C,G579-A,,,Not,8578DA:24D8:4:1:Vecto,,
PIPE END BLUE,281,195,,#2 ELECTRIC,16,Source4-26°,575,,R3220+R119,,,,Not,4DA2BF:28E5:4:2:Vecto,,
PIPE END TEMP,291,196,,#2 ELECTRIC,17,Source4-26°,575,,L202,G370,,,Not,8E90D6:28FC:4:2:Vecto,,
PIPE END BLUE,281,197,,#2 ELECTRIC,18,Source4-36°,575,,R3220+R119,,,,Not,83819C:2913:4:2:Vecto,,
PIPE END TEMP,291,198,,#2 ELECTRIC,19,Source4-36°,575,,L202,G370,,,Not,5B1904:292A:4:2:Vecto,,
SPC - OVERHEAD,403,154,,#1 ELECTRIC,1,Source4-26°,575,,R119,,,,Not,5BB455:25A7:4:1:Vecto,,
FRONT - AMBER,133,158,,#1 ELECTRIC,2,Source4-36°,575,,R02+R132,,,,Not,92A96B:25BE:4:1:Vecto,,
FRONT - BLUE,114,159,,#1 ELECTRIC,3,Source4-36°,575,,L201+R132,,,,Not,8AE317:25D5:4:1:Vecto,,
FRONT - PINK,153,155,,#1 ELECTRIC,4,Source4-36°,575,,R34+R132,,,,Not,92C0E8:25EC:4:1:Vecto,,
FRONT - N/C,173,160,,#1 ELECTRIC,5,Source4-36°,575,,R132,,,,Not,1EE70F:2603:4:1:Vecto,,
FRONT - AMBER,132,156,,#1 ELECTRIC,6,Source4-36°,575,,R02+R132,,,,Not,6A7C51:261A:4:1:Vecto,,
FRONT - BLUE,113,161,,#1 ELECTRIC,7,Source4-36°,575,,L201+R132,,,,Not,33A574:2631:4:1:Vecto,,
TEMP BACKS,83,162,,#1 ELECTRIC,8,Source4-26°,575,,N/C,G579-A,,,Not,795FE4:2590:4:1:Vecto,,
SPC - OVERHEAD,402,180,,#1 ELECTRIC,9,Source4-26°,575,,R119,,,,Not,3FB916:2648:4:1:Vecto,,
FRONT - PINK,152,179,,#1 ELECTRIC,10,Source4-36°,575,,R34+R132,,,,Not,55D04A:2579:4:1:Vecto,,
FRONT - N/C,172,174,,#1 ELECTRIC,11,Source4-36°,575,,R132,,,,Not,34B680:2562:4:1:Vecto,,
FRONT - AMBER,131,178,,#1 ELECTRIC,12,Source4-36°,575,,R02+R132,,,,Not,78DBBB:254B:4:1:Vecto,,
FRONT - BLUE,112,177,,#1 ELECTRIC,13,Source4-36°,575,,L201+R132,,,,Not,271ABA:2534:4:1:Vecto,,
FRONT - PINK,151,176,,#1 ELECTRIC,14,Source4-36°,575,,R34+R132,,,,Not,6EC788:251D:4:1:Vecto,,
FRONT - N/C,171,175,,#1 ELECTRIC,15,Source4-36°,575,,R132,,,,Not,419660:2506:4:1:Vecto,,
SPC - OVERHEAD,401,173,,#1 ELECTRIC,16,Source4-26°,575,,R119,,,,Not,18E22A:24EF:4:1:Vecto,,
FOOTLIGHTS,858,,,FOOTLIGHTS,1,ETC Selador Vivid-R Cell,14,,,,,,Not,598096:3114:37:34:Vecto,,
FOOTLIGHTS,857,,,FOOTLIGHTS,2,ETC Selador Vivid-R Cell,14,,,,,,Not,5D828D:312B:37:34:Vecto,,
FOOTLIGHTS,856,,,FOOTLIGHTS,3,ETC Selador Vivid-R Cell,14,,,,,,Not,6F06E6:3142:37:34:Vecto,,
FOOTLIGHTS,855,,,FOOTLIGHTS,4,ETC Selador Vivid-R Cell,14,,,,,,Not,20C754:319E:37:35:Vecto,,
FOOTLIGHTS,854,,,FOOTLIGHTS,5,ETC Selador Vivid-R Cell,14,,,,,,Not,D5C77:3187:37:35:Vecto,,
FOOTLIGHTS,853,,,FOOTLIGHTS,6,ETC Selador Vivid-R Cell,14,,,,,,Not,56D422:3170:37:35:Vecto,,
FOOTLIGHTS,852,,,FOOTLIGHTS,7,ETC Selador Vivid-R Cell,14,,,,,,Not,33A707:3159:37:35:Vecto,,
FOOTLIGHTS,851,,,FOOTLIGHTS,8,ETC Selador Vivid-R Cell,14,,,,,,Not,8CFCE9:30FD:37:34:Vecto,,
MOV - SHINS,542,,,SHIN MOUNT,1,VL2500 Spot,700,,,,,,Not,F441D:31B5:37:35:Vecto,,
MOV - SHINS,541,,,SHIN MOUNT,2,VL2500 Spot,700,,,,,,Not,3314CC:31CC:37:35:Vecto,,
CYC TOP - BLUE,324,373,,#10 ELECTRIC,A1,Aurora 4 Cell Cyc,1000,,R2006,,,,Not,C95C5:1A55:3:39:Vecto,,
CYC TOP - RED,304,374,,#10 ELECTRIC,A2,Aurora 4 Cell Cyc,1000,,R26,,,,Not,677195:1A27:3:39:Vecto,,
CYC TOP - GREEN,314,375,,#10 ELECTRIC,A3,Aurora 4 Cell Cyc,1000,,L139,,,,Not,15BBD4:1A10:3:39:Vecto,,
CYC TOP - LT BLUE,334,376,,#10 ELECTRIC,A4,Aurora 4 Cell Cyc,1000,,L161,,,,Not,95E31B:1A3E:3:39:Vecto,,
CYC TOP - BLUE,324,373,,#10 ELECTRIC,B1,Aurora 4 Cell Cyc,1000,,R2006,,,,Not,333BCB:1AB1:3:39:Vecto,,
CYC TOP - RED,304,374,,#10 ELECTRIC,B2,Aurora 4 Cell Cyc,1000,,R26,,,,Not,7317EE:1A83:3:39:Vecto,,
CYC TOP - GREEN,314,375,,#10 ELECTRIC,B3,Aurora 4 Cell Cyc,1000,,L139,,,,Not,3C91F0:1A6C:3:39:Vecto,,
CYC TOP - LT BLUE,334,376,,#10 ELECTRIC,B4,Aurora 4 Cell Cyc,1000,,L161,,,,Not,42EC66:1A9A:3:39:Vecto,,
CYC TOP - BLUE,323,377,,#10 ELECTRIC,C1,Aurora 4 Cell Cyc,1000,,R2006,,,,Not,7854E0:1B0D:3:3A:Vecto,,
CYC TOP - RED,303,389,,#10 ELECTRIC,C2,Aurora 4 Cell Cyc,1000,,R26,,,,Not,51B823:1ADF:3:3A:Vecto,,
CYC TOP - GREEN,313,390,,#10 ELECTRIC,C3,Aurora 4 Cell Cyc,1000,,L139,,,,Not,5FD399:1AC8:3:39:Vecto,,
CYC TOP - LT BLUE,333,383,,#10 ELECTRIC,C4,Aurora 4 Cell Cyc,1000,,L161,,,,Not,421EE1:1AF6:3:3A:Vecto,,
CYC TOP - BLUE,323,377,,#10 ELECTRIC,D1,Aurora 4 Cell Cyc,1000,,R2006,,,,Not,3AA53D:1B69:3:3A:Vecto,,
CYC TOP - RED,303,389,,#10 ELECTRIC,D2,Aurora 4 Cell Cyc,1000,,R26,,,,Not,388B34:1B3B:3:3A:Vecto,,
CYC TOP - GREEN,313,390,,#10 ELECTRIC,D3,Aurora 4 Cell Cyc,1000,,L139,,,,Not,3A99C6:1B24:3:3A:Vecto,,
CYC TOP - LT BLUE,333,383,,#10 ELECTRIC,D4,Aurora 4 Cell Cyc,1000,,L161,,,,Not,800664:1B52:3:3A:Vecto,,
CYC TOP - BLUE,322,385,,#10 ELECTRIC,E1,Aurora 4 Cell Cyc,1000,,R2006,,,,Not,3C59D:1CD9:3:3A:Vecto,,
CYC TOP - RED,302,386,,#10 ELECTRIC,E2,Aurora 4 Cell Cyc,1000,,R26,,,,Not,46F590:1CAB:3:3A:Vecto,,
CYC TOP - GREEN,312,387,,#10 ELECTRIC,E3,Aurora 4 Cell Cyc,1000,,L139,,,,Not,101E8:1C94:3:3A:Vecto,,
CYC TOP - LT BLUE,332,388,,#10 ELECTRIC,E4,Aurora 4 Cell Cyc,1000,,L161,,,,Not,5D72D1:1CC2:3:3A:Vecto,,
CYC TOP - BLUE,322,385,,#10 ELECTRIC,F1,Aurora 4 Cell Cyc,1000,,R2006,,,,Not,6AFD0A:1C7D:3:3A:Vecto,,
CYC TOP - RED,302,386,,#10 ELECTRIC,F2,Aurora 4 Cell Cyc,1000,,R26,,,,Not,59EAF0:1C4F:3:3A:Vecto,,
CYC TOP - GREEN,312,387,,#10 ELECTRIC,F3,Aurora 4 Cell Cyc,1000,,L139,,,,Not,8BE598:1C38:3:3A:Vecto,,
CYC TOP - LT BLUE,332,388,,#10 ELECTRIC,F4,Aurora 4 Cell Cyc,1000,,L161,,,,Not,328D48:1C66:3:3A:Vecto,,
CYC TOP - BLUE,321,379,,#10 ELECTRIC,G1,Aurora 4 Cell Cyc,1000,,R2006,,,,Not,553E4D:1C21:3:3A:Vecto,,
CYC TOP - RED,301,380,,#10 ELECTRIC,G2,Aurora 4 Cell Cyc,1000,,R26,,,,Not,B24D3:1BF3:3:3A:Vecto,,
CYC TOP - GREEN,311,381,,#10 ELECTRIC,G3,Aurora 4 Cell Cyc,1000,,L139,,,,Not,32B450:1BDC:3:3A:Vecto,,
CYC TOP - LT BLUE,331,382,,#10 ELECTRIC,G4,Aurora 4 Cell Cyc,1000,,L161,,,,Not,63375C:1C0A:3:3A:Vecto,,
CYC TOP - BLUE,321,379,,#10 ELECTRIC,H1,Aurora 4 Cell Cyc,1000,,R2006,,,,Not,5DE642:1BC5:3:3A:Vecto,,
CYC TOP - RED,301,380,,#10 ELECTRIC,H2,Aurora 4 Cell Cyc,1000,,R26,,,,Not,1447B0:1B97:3:3A:Vecto,,
CYC TOP - GREEN,311,381,,#10 ELECTRIC,H3,Aurora 4 Cell Cyc,1000,,L139,,,,Not,3DB71A:1B80:3:3A:Vecto,,
CYC TOP - LT BLUE,331,382,,#10 ELECTRIC,H4,Aurora 4 Cell Cyc,1000,,L161,,,,Not,27FF4D:1BAE:3:3A:Vecto,,
USC WHITE,3001,379,,USC BOOM,1,Aurora 4 Cell Cyc,1000,,R118,,,,Not,939C37:3645:22:3A:Vecto,,
USC WHITE,3001,382,,USC BOOM,1,Aurora 4 Cell Cyc,1000,,R118,,,,Not,7A6F7C:362E:22:3A:Vecto,,
USC WHITE,3001,380,,USC BOOM,1,Aurora 4 Cell Cyc,1000,,R118,,,,Not,331175:3617:22:3A:Vecto,,
USC WHITE,3001,381,,USC BOOM,1,Aurora 4 Cell Cyc,1000,,R118,,,,Not,29EB8F:3600:22:3A:Vecto,,
USC WHITE,3001,379,,USC BOOM,1,Aurora 4 Cell Cyc,1000,,R118,,,,Not,3AA854:35E9:22:3A:Vecto,,
USC WHITE,3001,382,,USC BOOM,1,Aurora 4 Cell Cyc,1000,,R118,,,,Not,726242:35D2:22:3A:Vecto,,
USC WHITE,3001,380,,USC BOOM,1,Aurora 4 Cell Cyc,1000,,R118,,,,Not,7F19EA:35BB:22:3A:Vecto,,
USC WHITE,3001,381,,USC BOOM,1,Aurora 4 Cell Cyc,1000,,R118,,,,Not,5371C5:35A4:22:3A:Vecto,,
